Estado,Total_Acidentes,Mortes,Feridos_Graves
AC,1924,118.0,244.0
AL,3058,152.0,514.0
AM,1676,91.0,258.0
AP,1004,39.0,124.0
BA,32284,2435.0,4091.0
CE,10848,432.0,1476.0
DF,8196,308.0,831.0
ES,12385,483.0,1896.0
GO,27812,1225.0,3047.0
MA,11628,998.0,2037.0
MG,79876,3366.0,9183.0
MS,24002,1349.0,2685.0
MT,24493,1228.0,2071.0
PA,14731,1359.0,1936.0
PB,12308,653.0,2055.0
PE,22758,1353.0,3384.0
PI,14025,977.0,2553.0
PR,70464,2962.0,6635.0
RJ,28240,809.0,2380.0
RN,7922,375.0,1045.0
RO,19206,1094.0,2450.0
RR,1315,146.0,177.0
RS,41060,1510.0,4116.0
SC,51019,1601.0,5551.0
SE,3021,129.0,450.0
SP,38158,954.0,2905.0
TO,7639,406.0,1095.0
